Sr No, Blood Bank Name, State,District, City,Population,Donors,A+,A-,B+,B-,AB+,AB-,O+,O-,Boold Unit(ltr), Address,Pincode, Mobile, Email, Category, Blood Component Available, Service Time
1525,Smt. Anila Kantilal Kothari Blood Bank & Department of Hemato Oncology,Maharashtra,Sangli,Sangli,58911,7167,1519,443,1244,964,249,930,396,1422,485,"Dr. D. K. Gosavi Memorial, Shri Siddhivinayak Ganapati Cancer Hospital, Sangli - Miraj Road, Miraj",436687,8256912093,cancermiraj@gmail.com,Private,YES,24x7
1526,Bharati Vidyapeeth University Medical college And Hospital Blood Bank,Maharashtra,Sangli,Sangli,230339,5655,1867,258,1185,496,322,154,460,913,1749,"A/p Wanlesswadi, Miraj 
",386144,7072795000,,Government,YES,24x7
1527,Hindratna Prakashbapu Patil Blood Bank,Maharashtra,Sangli,Sangli,18991,8751,1071,1540,114,1324,1928,1195,479,1100,1351,"2nd Floor, Siddhivinayak Commercial Complex Guest House, Miraj Road, Near Tata Petrol Pump, Sangli
",260734,9739815587,hindratnabloodbank@gmail.com,Government,NO,24x7
1528,Miraj Serological Institute Blood Bank,Maharashtra,Sangli,Sangli,198755,8612,1456,1404,448,1241,712,1563,905,883,4907,"S. No.795/A1, Dr. Bhalchandra Patil Hospital,  Zaribag Budhgaonkar Mala, Near Gulabrao Patil Medical College, Miraj 
",326929,7315823895,msibloodbank@gmail.com,Private,NO,24x7
1529,Akshay Blood Bank,Maharashtra,Sangli,Sangli,157104,7307,424,1638,1828,183,65,1008,320,1841,1242,"Plot No. 1/7, Near Anand Nursing Home, 2nd Floor, Miraj Sangli Road,  Sangli",258240,6696102762,abbmiraj@gmail.com,Charity,YES,24x7
1530,Indian Red Cross Society Blood Bank - Shirgaonkar Blood Bank,Maharashtra,Sangli,Sangli,23884,8287,228,1219,1155,639,1370,1005,1649,1022,317,"Opposite to Civil Hospital, Plot No. 49, City Survey No.601/7, Sangli",245437,6315569198,shirgaonkar_sangli@yahoo.co.in,Government,YES,24x7
1531,Shree Basaveshwar Manav Vikas Gramin Sevabhavi Sanstha Blood Bank,Maharashtra,Sangli,Sangli,165324,11787,1737,1446,1071,483,1951,1591,1948,1560,3819,"Arihant Galaxy, 1st Floor, C.S. NO- 1599, Opposite to Civil Hospital, Garpir Road, Sangli
",416339,9404045567,adarshbloodbank@gmail.com,Charity,YES,24x7
1532,Azad Panchi Group Charitable Trust Blood Bank,Maharashtra,Sangli,Sangli,226465,7248,1498,295,1541,1708,525,134,873,674,4330,"Near Civil Hospital, Ganesh Nagar, 1st Lane, S. No. 1682, Sangli
",260140,7021445723,msibloodbank@gmail.com,Private,YES,12x7
1533,S. S. Venutai Y. Chavan Sub-District Hospital Blood Bank Karad,Maharashtra,Satara,Satara,144991,11731,759,1448,936,1773,1964,1901,1356,1594,1770,"Plot No. 290/91, Budhwar Peth Station Road, Karad, Satara",329167,6742368237,mskarad@gmail.com,Government,NO,24x7
1534,Civil Surgeon - Sarva Samanya Hospital Blood Bank,Maharashtra,Satara,Satara,62823,6584,555,1012,1294,638,1079,1133,736,137,4297,"Bazar Road, Satara",500165,6539403467,bbsknpsatara@gmail.com,Charity,NO,24x7
1535,Phaltan Medical Foundation Blood Bank,Maharashtra,Satara,Satara,218117,7739,130,932,662,1704,1502,370,533,1906,3128,"C.T.S. No. 5604/6, Near Dnyaneshwar Mandir, Behind State Bank of India, Laxminagar, 1st Floor Phaltan, Satara",420168,9350541257,,Government,NO,24x7
1536,Krishna Hospital and Medical Research Centre Blood Bank Karad,Maharashtra,Satara,Satara,194309,9508,946,1974,794,1860,410,506,1117,1901,2578,"Poona Bangalore (NH 4) Highway, Near Debhewadi Road, Karad, Satara",353765,9449980590,khbloodbank@yahoo.com,Government,YES,24x7
1537,Instutute of Medical Science and Research Blood Bank and Blood Component Seperation Unit,Maharashtra,Satara,Satara,39590,10936,1860,1304,1908,1608,528,1853,1665,210,2147,"Shree Chatrapati Shivaji Education Societys, Instutute of Medical Science and Research Blood Bank and Blood Component Seperation Unit,  Vita Road, Vidyagiri, Mayani, Satatra",368014,7507766206,insrmyn05@rediffmail.com,Government,YES,24x7
1538,M/s. K. N. Gujar Blood Bank,Maharashtra,Satara,Satara,99944,6594,282,559,806,262,1132,690,1387,1476,2362,"M/s K.N. Gujar Blood Bank, F. P. No. 21, 203/A/6, 1st Floor, K.N. Gujar Hospital, Shanivar Peth, Near S.T. Bus Stand, Karad, Satara",409403,8876756839,,Charity,YES,24x7
1539,M/s. Balaji Blood Bank,Maharashtra,Satara,Satara,44284,8020,713,1788,1429,422,1064,1706,105,793,430,"M/s. MA. NA. Shri R.R. (AABA) Patil Shikshan Sheti Sanshodhan Aani Vikas Sansthas  Balaji Blood Bank, C.S.No - 467/8 A 1b/45, Jaldhara Building 2nd Floor, Sadar Bazar, Satara - 415002
",465967,8076473032,balajibbsatara@gmail.com,Charity,NO,24x7
1540,Akshay Blood Bank,Maharashtra,Satara,Satara,10125,8826,1214,1274,1274,732,1873,442,1892,125,2747,"Akshay Medical Trust, Akshay Blood Bank, 506/22, Sadar Bazar, Near State Bank, Opposite to Nirmal Hotel, Satara",360588,9566597085,abbSatara@gmail.com,Private,YES,12x7
1541,Mauli Blood Bank Satara,Maharashtra,Satara,Satara,206134,7811,1240,1588,330,741,388,479,1468,1577,3050,"529/b,  Parasnis Colony, Near Hotel Monark, Powai Naka Sadar Bazar, Satara ",339737,8836805887,maulibloodbank@gmail.com,Government,YES,24x7
1542,Yashwantrao Chavan Blood Bank,Maharashtra,Satara,Satara,119329,9704,848,459,1246,1444,1027,1505,1512,1663,3198,"Phase 5, Super Market, 1st Floor Hall No. 2/1 Final Plot No. 432,433, Shaniwar Peth, Karad  ",337081,9287446790,ycbbkarad@gmail.com,Government,NO,24x7
1543,Civil Surgeon - General Hospital Blood Bank,Maharashtra,Sindhudurg,Sindhudurga,151562,5416,77,71,973,647,772,1486,1067,323,2342,"Sindhudurg Oros, At Post - Oros, Kudal, Sindhudurga (Oros)",329348,9913104139,orosbloodbank@gmail.com,Private,NO,24x7
1544,"Cottage Hospital Blood Bank, Sawantwadi",Maharashtra,Sindhudurg,Sindhudurga,147719,6677,104,1126,409,1808,1771,240,881,338,1105,"Sub -District Cottage Hospital, Blood Bank, Sawantwadi, 
C-Sindhudurg",241912,9154192297,bloodbank.sdhsawantwadi@gmail.com,Charity,YES,24x7
1545,Dean Chatrapati Shivaji Maharaj Sarvopchar Hospital Blood Bank,Maharashtra,Solapur,Solapur,74036,9186,1926,988,1813,165,404,1396,1900,594,3084,"B-Block Ground Floor, Shri. Chatrapati Shivaji Maharaj Sarvopchar Hospital, Solapur, Maharashtra",261519,8249290374,"dr.g.a.pandit@gmail.com, bloodbanksolapur@gmail.com",Government,YES,24x7
1546,Shri Markendya Charitable and Medical Trust Irrapanna N Boli Blood Bank,Maharashtra,Solapur,Solapur,234445,6533,786,848,1561,1010,482,103,1626,117,1225,"Ashok Chowk, 896/97, Bhavnarishi Peth (Bolli Mangal Karayalaya 1 floor, Solapur",402938,9504032885,,Charity,YES,24x7
1547,"Dr. Hegdewar Rakta Pedhi Sanstha, Solapur",Maharashtra,Solapur,Solapur,86178,5533,284,46,1421,1423,111,211,1779,258,2403,"1st Floor, Sahyadri Shopping Centre Railway Lines, Solapur",241690,9888702776,hedgewar.raktapedhi@gmail.com,Private,YES,12x7
1548,Solapur Blood Bank,Maharashtra,Solapur,Solapur,101152,8199,1587,1084,393,1152,8,858,1889,1228,1521,"136, Railway Line, Near Railway Station, Near Atthar Hospital, Anjani Chembers,  Solapur",431772,9877034839,,Government,NO,24x7
1549,IMA - Sahakar Maharshi Shankarrao Mohite Patil Blood Bank,Maharashtra,Solapur,Solapur,158424,8945,1742,1343,1118,1047,1411,73,1832,379,1229,"804, Old Pandharpur Road, Ganeshnagar Akluj, Solapur",335952,6986340874,imabloodbank136@rediffmail.com,Charity,NO,24x7
1550,Akshay Blood Bank,Maharashtra,Solapur,Solapur,116228,7523,1044,1469,1259,377,1271,805,1031,267,3621,"Survey No. 2212, First Floor, Laxmi Narayan Apartment, South Sadar Bazar, Solapur ",490698,9265416373,,Government,NO,24x7
1551,M. M. Patel Public Charitable Trust - Ashwini Rural Medical College and Hospital Blood Bank,Maharashtra,Solapur,Solapur,106289,8024,233,1616,1294,945,584,834,1617,901,2256,"Kumbhari, Gat No. 261 and 262 , Akkalkot Road, Kumbhari, 
Tal.South Solapur. Dist. Solapur ",422712,8624387096,armchbb@gmail.com,Government,YES,24x7
1552,Athar Minorities Social and Welfare Associations - Athar Blood Bank,Maharashtra,Solapur,Solapur,48900,8529,1612,594,1152,960,510,1664,628,1409,3394,"1st Floor, 410 Shukrawar Peth, Jamiya Complex, Near Jama Masjid, Solapur",350266,6288937037,"atharbloodbank@ymail.com,",Government,YES,24x7
1553,Indian Red Cross Soceity - Shriman Rambhai Shah Blood Bank,Maharashtra,Solapur,Solapur,187279,5687,335,358,386,1016,281,847,1805,659,4914,"Jawaharlal Hospital Compound, Shivaji Road, Barsi, Somwarpeth, Solapur",359549,7025560698,srsbloodbank@yahoo.com,Charity,YES,24x7
1554,Indian Red Cross Society - Smt. Gopabai Damani Blood Bank,Maharashtra,Solapur,Solapur,212225,9450,1641,427,1125,1782,90,1886,1800,699,2353,"165 Railway Line, Red Cross Road, Dufferin Chowk, Solapur ",258076,8263668195,gopabaidamani@gmail.com,Charity,NO,24x7
1555,Indian Red Cross Society - Sarjubai Bansila Bajaj Blood Bank,Maharashtra,Solapur,Solapur,225231,10224,1424,1242,1430,1236,282,1446,1459,1705,3031,"62/2/3/4, Bhakti Marg, Pandharpur, Solapur",403723,8895862860,bajajbloodbank@gmail.com,Private,YES,12x7
1556,SIDDHESHWAR BLOOD BANK,Maharashtra,Solapur,Solapur,110724,8928,659,997,994,1903,985,372,1718,1300,4813,"Kalyani Towers, 126 Siddheshwar Peth, Near Yashwantrao Hospital Behind civil court, Solapur ",335438,7089213657,siddheswarbloodbank@gmail.com,Government,YES,24x7
1557,M/s Shrikamal Shikshan Prasarak Krida - Kala & Krushivikas Bahu Uddeshiya Samajsevi Mandals Sanjeevani Blood Bank,Maharashtra,Solapur,Solapur,220767,9478,1593,788,581,1249,571,1638,1882,1176,700,Solapur,454286,8034156701,,Government,NO,24x7
1558,Gor Banjara RSS Jankalyan Samiti - Seva Blood Bank,Maharashtra,Thane,,108635,6862,453,371,1223,1483,854,1185,232,1061,3494,"Basement Puspadev Appartment, Near Sarvesh Hall Opposite to Manav Kalyan Kendra Dombivli ",498162,9047465162,,Private,NO,24x7
1559,"Dr. D.Y. Patil Hospital & Research Centre, Blood Bank",Maharashtra,Thane,Nerul,221934,9136,1631,1508,1370,1937,648,1217,134,691,3158,"Nerul, Thane",315565,9345080313,,Charity,YES,24x7
1560,Tarapur Atomic Power Station Hospital Blood Bank,Maharashtra,Thane,Palghar,121489,11297,1979,1359,739,539,1708,1146,1925,1902,3551,"TAPS Hospital Blood Bank, TAPS 1&2 (Anushri) Township Near Boisar, Palghar ",264990,9280735580,rmwankhede@npcil.co.in,Government,YES,24x7
1561,Vitthal Sayanna General Hospital (Civil Hospital) Blood Bank,Maharashtra,Thane,Thane,159543,7467,14,1967,1306,1202,1012,954,50,962,2288,"Civil Hospital, 1st Floor, Tembhi Naka, Thane (W)-400601
",509939,9105737822,,Government,YES,24x7
1562,Central Hospital Blood Bank,Maharashtra,Thane,Thane,56413,10024,96,1633,1839,848,1464,1567,1996,581,1798,"Ulhasnagar, Central Hospital, Nehru Chowk Road, Ulhasnagar",362536,7267203768,,Government,NO,12x7
1563,JVP Blood Bank and Transfusion Centre Blood Bank,Maharashtra,Thane,Thane,183462,6907,863,397,967,761,709,295,1210,1705,950,"201, 213 Arenja Arcade Plot No. 4 Sec-17, Next to Apana Bazar, Vashi, Navi Mumbai",229464,7131382866,,Private,NO,24x7
1564,Sankalp Blood Bank,Maharashtra,Thane,Thane,32924,11077,1975,1628,1906,1332,811,1216,1277,932,1170,"Riddhi Siddhi, Opposite to ICICI Bank, Near Ramchandra Hall, Murbad Road Kalyan (W)",211878,8633794010,,Charity,YES,24x7
1565,Jupiter Hospital Blood Bank,Maharashtra,Thane,Thane,83052,7252,434,868,557,1087,992,1817,851,646,3741,"Jupiter Hospital, Eastern Express Highway, Service Road, Near Voltas,  Naupada, Thane (W)  ",434095,6914184302,,Government,YES,24x7
1566,Plasma Diagnostic Lab and Blood Bank,Maharashtra,Thane,Thane,86619,8195,1116,1824,687,1436,1610,1069,87,366,3798,"Meghdoot, Building, Gopal Nagar, Hotel Janaki, Opposite to Manjunath School, Dombivali( E)",384579,6317337364,,Charity,YES,24x7
1567,Vaidhya Blood Bank,Maharashtra,Thane,Thane,202444,8272,509,1758,190,150,1785,511,1820,1549,3341,"1st Floor. Satyam Apartment, M.G. Road, Jeevan Jyot Hospital, Near Naupada Police Station, Thane (W)",374415,7592470890,,Private,YES,24x7
1568,Mahatma Gandhi Mission Medical College and Hospital Blood Bank,Maharashtra,Thane,Thane,59982,9719,1816,1918,1994,377,1791,977,405,441,3250,"Plot No. 1 and 2, Sector-18, Kamothe, Navi Mumbai",350932,9223036779,,Government,NO,24x7
1569,Navjeevan Blood Bank,Maharashtra,Thane,Thane,238767,6349,388,865,651,1118,148,1873,824,482,3969,"Gokhale Road, Naupada, Near Dr.Mhaskar&#39;s Hospital, Thane (W)",457458,9852832546,,Charity,NO,24x7
1570,Sarla Blood Bank,Maharashtra,Thane,Thane,18574,5600,17,640,363,1355,402,1372,1064,387,3591,"Ravi Hospital, 1st Floor, 50 Anand Nagar, Navghar Vasai (W)",278864,8241636844,,Government,NO,12x7
1571,Tssia Blood Bank,Maharashtra,Thane,Thane,131339,4610,131,1684,498,1093,323,138,510,233,2132,"Tssia House, Road No.P 26/T,Rd-16, Wagle Estate, Thane (W) ",495939,8434233461,,Government,YES,24x7
1572,Katiya Charitable Trusts Bhiwandi Blood Bank,Maharashtra,Thane,Thane,140382,6047,682,771,971,72,1702,524,484,841,1290,"271, Second Floor, Al-Hera Complex, Teen Batti Bhiwandi, Thane",304140,8990601125,,Government,YES,24x7
1573,Kai Wamanrao Oak Blood Bank,Maharashtra,Thane,Thane,17159,9414,962,1755,1150,1555,628,1365,975,1024,245,"Ghantali Mandir Road, Vishnu Nagar, Naupada, Thane",248847,8581445138,,Charity,YES,24x7
1574,Blood Line Blood Bank,Maharashtra,Thane,Thane,240979,8619,207,1282,213,1006,1593,1750,867,1701,2337,"Swargiya Dharmvir Anand Dighe Sankool, Tika No-10, Near Vikas Palm, Dr. Ambedkar Road, Thane (W) ",416761,9789579934,,Charity,NO,24x7
1575,Kalyan Dombivali Municipal Corporation Sponsored Nandakishore Education Society Arpan Blood Bank,Maharashtra,Thane,Thane,51029,7154,913,481,1993,1600,368,657,374,768,431,"2nd Floor, Bai Rukhminibal Hospital, Kalyan (W) ",454233,6262482999,,Private,YES,24x7
1576,Smt. Devkaabai Kalyanji Chheda Amrutvahini Blood Bank,Maharashtra,Thane,Thane,132714,5535,551,1083,143,529,670,1830,333,396,2633,"Ashirwad Apartment, 2nd Floor,  Dshsnu (E), Thane ",351284,8882727303,,Government,YES,24x7
1577,Sanjeevan Blood Bank ,Maharashtra,Thane,Thane,149191,9560,650,1448,816,1714,276,1834,1378,1444,4617,"1st Floor, Indravati Hospital, Sector-3, Airoli, Navi Mumbai ",275020,8730769719,,Government,NO,12x7
1578,Vijayee Blood Bank,Maharashtra,Thane,Thane,11605,10948,1044,1137,1585,1391,1915,385,1994,1497,2457,"Andrandes Bhavan 1st Floor, Plot No. 2, Sr. No 277-A, Behind Papdi Telephone Exchange, Near Sai Services,  Vasai (W) ",467965,8673100112,,Private,NO,24x7
1579,Mira Bhayandar Municipal Corporation Rajeev Gandhi Blood Bank,Maharashtra,Thane,Thane,116479,8102,1730,1076,866,988,1121,281,740,1300,3221,"C.S No.30/32 Poonam Sagar Complex, Near Allahabad Bank Mira Road (E), Thane",367430,6477816553,,Charity,YES,24x7
1580,"Maharashtra Blood Bank, Component and Apheresis Centre",Maharashtra,Thane,Thane,15254,8601,1724,1267,841,1074,1173,157,1020,1345,3712,"C- Wing, 107/207, Kuldeep Arcade, Near Navli Railway Phatak, Station Road, Palghar (W), Thane ",333194,7404854361,,Government,YES,24x7
1581,Chidanand Charitable Trust Dombivali Blood Bank,Maharashtra,Thane,Thane,28158,11148,1516,826,1710,1909,1006,1254,1339,1588,1432,"Siddhi Hospital, Bajiprabhu Chowk, Dombivali (East) ",235515,9278761551,,Charity,YES,24x7
1582,Seva Blood Bank,Maharashtra,Thane,Thane,144418,8447,1252,759,1480,720,1796,279,992,1169,467,"Pushpadev Apartment, Basement, Opposite to Manav Kalyan Kendra, Near Sarvesh Hall, Dombivali ",458245,7916947499,,Private,YES,24x7
1583,Chhatrapati Shivaji Maharaj Hospital Blood Bank,Maharashtra,Thane,Thane,196927,7797,80,938,1501,1076,1724,596,700,1182,3565,"Thane Belapur Road, Kalwa, Thane",204431,7580720086,,Government,NO,24x7
1584,Navi Mumbai Municipal Corporation Blood Bank,Maharashtra,Thane,Thane,15144,9487,232,909,337,1161,1528,1769,1863,1688,1485,"General Hospital Vashi, Near Saint Mary Church, Sector-10, Vashi, Navi Mumbai",376529,7648294616,,Charity,NO,24x7
1585,Lokmanya TSSIA Blood Bank Thane,Maharashtra,Thane,Thane,251079,6727,30,1763,1373,872,912,225,1468,84,504,"Tssia House, Road No. P 26/T, Road-16, Next to Thane Janata Sahakari Bank, Behind the Petrol Pump, Wagle Estate, Thane (W)",383691,9326249050,sunilmundhe7@gmail.com,Government,NO,12x7
1586,M/s. Sadgurus Charitable Blood Bank,Maharashtra,Thane,Thane,253182,5956,475,1872,1058,671,84,659,22,1115,407,Thane,311817,6544157072,,Government,YES,24x7
1587,M/s. Triumph Foundations Triumph Blood Bank,Maharashtra,Thane,Thane,218561,8846,770,1634,830,769,1657,1599,1500,87,878,Thane,228056,8719708535,,Government,YES,24x7
1588,Terna Blood Bank ,Maharashtra,Thane,Thane,136671,8913,1645,1366,420,1448,799,999,438,1798,2904,Thane,246810,7614959087,,Charity,YES,24x7
1589,"District - Civil Surgeon, General Hospital Blood Bank Wardha",Maharashtra,Wardha,Wardha,168680,10634,1963,563,1561,1832,1499,358,946,1912,3804,"New Building, OPD 1st Floor General Hospital, Dr. Ambedkar Road, Near Jilha Parisad, Wardha",430120,9831659504,cswardha@rediffmail.com,Charity,NO,24x7
1590,Kasturba Health Society Blood Bank,Maharashtra,Wardha,Wardha,257691,7364,1050,1889,872,701,1595,94,146,1017,4438,"Sevagram, Department of Pathology, MGIMS and Kasturba Hospital,  Sevagram, Wardha",257595,7809639718,bloodbank@mgims.ac.in,Private,YES,24x7
1591,Jawaharlal Nehru Medical College Blood Bank,Maharashtra,Wardha,Wardha,23567,7466,1587,602,720,123,1506,1831,505,592,2994,"Savangi (Meghe), Paloti Road, Wardha",327824,6958320472,jnmcbloodbank@rediffmail.com,Government,YES,24x7
1592,"Civil Surgeon, General Hospital Blood Bank Washim",Maharashtra,Washim,Washim,219745,7189,306,1463,285,728,1591,388,1924,504,3280,"General Hospital Blood Bank, Near Akola Naka,  Washim ",328538,7309947015,bb328@rediffmail.com,Government,NO,12x7
1593,Sau Kantadevi Dale Blood Bank,Maharashtra,Washim,Washim,25440,8532,1013,1810,808,16,1274,1457,680,1474,342,"Maa Ganga Memorial Baheti Hospital, Akola Naka, Washim ",401714,8829735511,dr.narayandale@gmail.com,Private,NO,24x7
1594,Shri Vasantrao Naik Blood Bank ,Maharashtra,Yavatmal,Yavatmal,48034,6686,1097,1901,211,732,1064,1042,463,176,4778,"Government Medical College and Hospital, Yavatmal",392131,7971592677,"deanvngmc@rediffmail.com, bloodbankvngmc@gmail.com",Charity,YES,24x7
1595,Laxmi Blood Bank,Maharashtra,Yavatmal,Yavatmal,221704,7530,1936,1955,492,206,692,315,1720,214,4568,"Chiddarwar Hospital, Motinagar, Pusad, Yavatmal",378418,7224769623,,Government,YES,24x7
1596,Satyashanti Blood Bank,Maharashtra,Yavatmal,Yavatmal,10256,7449,149,1861,436,842,1987,713,306,1155,3157,"2nd Floor, Satyashanti Hospital, Opposite to Bus Stand, Pusad",500114,9020293087,satyashanti@rediffmail.com,Charity,YES,24x7
1597,Aishwarya Blood Bank,Maharashtra,Yavatmal,Yavatmal,91860,9202,1935,1341,1242,1215,669,1402,62,1336,3636,"Survey No.3/2, Godhani Road, Gurunanak Nagar, Near Amolakshand College, Mouza, Umarsara, Yavatmal",440310,9178697004,bhongade@nagpur.dot.net.in ,Private,YES,24x7
1598,Shri Gajanan Blood Bank And Components,Maharashtra,Yavatmal,Yavatmal,224507,9508,586,1058,1687,1471,1046,1635,373,1652,2574,"Property No: 71, Road No.9, 2nd Floor, Bajaj Satkar Bhavan, Yavatmal (m.s) ",363288,7883656208,,Government,NO,24x7
1599,Ekneel Blood Bank,Maharashtra,Yavatmal,Yavatmal,123974,10800,1848,1880,278,663,1963,1605,700,1863,1451,"Near City Centre, Datta Chowk",464685,9336760371,ekneelbloodbank@rediffmail.com,Charity,NO,24x7
1600,District Hospital Blood Bank ,Manipur,Churachandpur,Churachandpur ,59797,5958,313,490,43,1585,342,1236,1429,520,3223,"Churachandpur District Hospital, IB Road, Hiangtam Lamka",424501,7149837949,paulunmang@gmail.com,Government,NO,12x7
1601,JNIMS Hospital Blood Bank and Transfusion Unit ,Manipur,Imphal East,Porompat,167033,6950,238,1369,184,436,1019,1474,301,1929,351,"JNIMS Hospital, 
Ryang Palli Road, Near TV Road
Porompat, Imphal East",246763,9777478988,surjitkonsam@gmail.com,Government,YES,24x7
1602,Model Blood Bank - Department of IHBT,Manipur,Imphal West,Imphal,220501,4816,247,69,1362,113,1360,1029,19,617,2146,"RIIMS, Lamphalphelpat, Lamphel Road, Imphal",408101,8944930713,abarindras@yahoo.co.in,Government,YES,24x7
1603,Shija Blood Bank and Transfusion Services   ,Manipur,Imphal West,Imphal,51453,9491,1290,1565,1235,1802,1078,438,1522,561,3772,"Shija Hospital and Research Institute, Meitei Langol, Lamphelpat, Imphal",250793,9922746032,premjit@shijahospital.com,Charity,YES,24x7
1604,District Hospital Blood Bank and Transfusion Unit,Manipur,Thoubal,Thoubal,220773,8652,1884,1247,1705,874,392,745,1693,112,1803,"District Hospital, Khangbok, Maning Leikai, Manipur",313641,9289756366,bloodbankdhthoubal@gmail.com,Charity,NO,24x7
